Name,Amount,Unit Cost,Unit Size,Total,
Buck Converter,1,9.59,5,9.59,https://www.amazon.com/dp/B0B779ZYN1?ref=cm_sw_r_cp_ud_dp_THWM20P2KPCV3FR988YE&ref_=cm_sw_r_cp_ud_dp_THWM20P2KPCV3FR988YE&social_share=cm_sw_r_cp_ud_dp_THWM20P2KPCV3FR988YE&th=1
Terminal Block,2,0.78,1,1.56,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/TB005-762-02BE/10064113
SMD Capacitor 0.1uf,3,3.94,100,3.94,https://www.aliexpress.us/item/3256803326351943.html?spm=a2g0o.productlist.main.4.6e194ffdsoXGgJ&aem_p4p_detail=202511222301383888125593595620002356680&algo_pvid=1250e9e3-8ac7-42c5-b0c8-a412cec7ed01&algo_exp_id=1250e9e3-8ac7-42c5-b0c8-a412cec7ed01-3&pdp_ext_f=%7B%22order%22%3A%22119%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.54%213.27%21%21%213.54%213.27%21%402101584917638812982833970e3f89%2112000026121796498%21sea%21US%216187826129%21X%211%210%21n_tag%3A-29919%3Bd%3Ad9d669af%3Bm03_new_user%3A-29895&curPageLogUid=jaEp2KhI6iOJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003512666695%7C_p_origin_prod%3A&search_p4p_id=202511222301383888125593595620002356680_1
THT Resistor 5k,1,2.42,100,2.42,https://www.aliexpress.us/item/3256806020720362.html?spm=a2g0o.productlist.main.21.511d6fc0aABpt6&algo_pvid=170e0595-05cd-41a7-8c4e-a023f098c51a&algo_exp_id=170e0595-05cd-41a7-8c4e-a023f098c51a-20&pdp_ext_f=%7B%22order%22%3A%22209%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.29%211.49%21%21%2116.20%2110.53%21%40214100f417638814026455015e8b9c%2112000036279816949%21sea%21US%216187826129%21X%211%210%21n_tag%3A-29919%3Bd%3Ad9d669af%3Bm03_new_user%3A-29895&curPageLogUid=rHKmPIu0xe2u&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006207035114%7C_p_origin_prod%3A
THT Resistor 4.7k,2,2.37,100,2.37,https://www.aliexpress.us/item/3256806020720362.html?spm=a2g0o.cart.0.0.245038da7d89yo&mp=1&pdp_npi=5%40dis%21USD%21USD%202.37%21USD%201.54%21%21USD%201.54%21%21%21%40212a70c117638818440935660eb116%2112000036279816941%21ct%21US%216187826129%21%211%210&_gl=1*mi39am*_gcl_aw*R0NMLjE3NjM4ODA2ODUuQ2p3S0NBaUEyNFhKQmhCWEVpd0FYRWxPM3liRHZJN1I1VnFod2RBbzJuRGJ3RkJwVWkxX3hRbkJBY2NBVHdfak5hWElKU20wNVJjNTJCb0NjTndRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NjM4ODA2ODUuQ2p3S0NBaUEyNFhKQmhCWEVpd0FYRWxPM3liRHZJN1I1VnFod2RBbzJuRGJ3RkJwVWkxX3hRbkJBY2NBVHdfak5hWElKU20wNVJjNTJCb0NjTndRQXZEX0J3RQ..*_gcl_au*MTUyNzUyMDgzOS4xNzU3ODgxNTQ1*_ga*MjEzNTUyNTk1My4xNzYzODc4NzU4*_ga_VED1YSGNC7*czE3NjM4Nzg3NTckbzEkZzEkdDE3NjM4ODE4NDQkajU5JGwwJGgw&gatewayAdapt=glo2usa
Electrolytic Capacitor 1500uf,2,1.88,10,1.88,https://www.aliexpress.us/item/3256807427260816.html?spm=a2g0o.productlist.main.22.42137853pt5RuY&algo_pvid=2860a542-7f92-4453-970e-a49bcc014d43&algo_exp_id=2860a542-7f92-4453-970e-a49bcc014d43-21&pdp_ext_f=%7B%22order%22%3A%222325%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.50%210.96%21%21%2110.63%216.80%21%402101e2b617638817291191927ed63e%2112000041504069999%21sea%21US%216187826129%21X%211%210%21n_tag%3A-29919%3Bd%3Ad9d669af%3Bm03_new_user%3A-29895&curPageLogUid=tSsbiNIcHmnD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007613575568%7C_p_origin_prod%3A
Teensy 4.1,1,29.6,1,29.6,https://www.digikey.com/en/products/detail/sparkfun-electronics/20359/16688101
nRF24L01,1,5.19,5,5.19,https://www.aliexpress.us/item/3256807013648418.html?spm=a2g0o.productlist.main.4.22be30f755mkma&aem_p4p_detail=2025112314271716169132175574500003944458&algo_pvid=ea3e6de3-da62-481e-b087-0651f71a96b7&algo_exp_id=ea3e6de3-da62-481e-b087-0651f71a96b7-3&pdp_ext_f=%7B%22order%22%3A%2248%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.44%213.22%21%21%2124.37%2122.83%21%402101246417639368378132542ef17e%2112000049085881822%21sea%21US%216187826129%21X%211%210%21n_tag%3A-29919%3Bd%3Ad9d669af%3Bm03_new_user%3A-29895&curPageLogUid=apRSrJnZnsNr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007199963170%7C_p_origin_prod%3A&search_p4p_id=2025112314271716169132175574500003944458_1
PCA9548ADB,1,2.43,1,2.43,https://www.digikey.com/en/products/detail/texas-instruments/PCA9548ADB/1573091
SMD Resistor 10k 0805,18,1.2,100,1.2,https://www.aliexpress.us/item/3256804579227354.html?spm=a2g0o.productlist.main.3.60106cf0fgaBdG&algo_pvid=d75aea1c-7e41-4d40-ae2a-47ae5658f480&algo_exp_id=d75aea1c-7e41-4d40-ae2a-47ae5658f480-2&pdp_ext_f=%7B%22order%22%3A%2240%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.10%211.02%21%21%211.10%211.02%21%402140c1e917638798918441521ec5ce%2112000030388976233%21sea%21US%216187826129%21X%211%210%21n_tag%3A-29919%3Bd%3Ad9d669af%3Bm03_new_user%3A-29895&curPageLogUid=uxIWY6qmpv79&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004765542106%7C_p_origin_prod%3A
BNO055,1,26.9,1,26.9,https://www.aliexpress.us/item/3256809169239048.html?gatewayAdapt=glo2usa
Rocker Switch,1,7.39,12,7.39,https://www.aliexpress.us/item/3256806293672719.html?spm=a2g0o.productlist.main.2.78a0644atD9quO&algo_pvid=3815a642-0954-4f1c-a4af-61413e386dff&algo_exp_id=3815a642-0954-4f1c-a4af-61413e386dff-1&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.39%214.29%21%21%2152.32%2130.35%21%40213ba8cc17639376988783322ead26%2112000037354442242%21sea%21US%216187826129%21X%211%210%21n_tag%3A-29919%3Bd%3Ad9d669af%3Bm03_new_user%3A-29895&curPageLogUid=iWplsi7s8ylp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006479987471%7C_p_origin_prod%3A
JLCPCB,1,74.42,5,74.42,
,,,Total =,437.14,
